what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1323527518256
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui",1323527518267
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1323527518279
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1323527518294
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1323527518299
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1323527518304
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1323527518313
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1323527518319
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1323527518333
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1323527518339
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1323527518425
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1323527518438
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1323527518439
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1323527518445
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1323527518454
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1323527518462
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1323527518466
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1323527518474
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1323527518483
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1323527518483
started,bundle,com.android.ide.eclipse.ddms,15.0.0.v201110251216-213216,"com.android.ide.eclipse.ddms",1323527518536
os,sysinfo,,,"linux",1323527518557
arch,sysinfo,,,"x86_64",1323527518557
ws,sysinfo,,,"gtk",1323527518557
locale,sysinfo,,,"en_US",1323527518557
processors,sysinfo,,,"2",1323527518557
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1323527518557
java.runtime.version,sysinfo,,,"1.7.0-b147",1323527518557
java.specification.name,sysinfo,,,"Java Platform API Specification",1323527518557
java.specification.vendor,sysinfo,,,"Oracle Corporation",1323527518557
java.specification.version,sysinfo,,,"1.7",1323527518557
java.vendor,sysinfo,,,"Oracle Corporation",1323527518557
java.version,sysinfo,,,"1.7.0",1323527518557
java.vm.info,sysinfo,,,"mixed mode",1323527518557
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1323527518557
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1323527518557
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1323527518557
java.vm.specification.version,sysinfo,,,"1.7",1323527518557
java.vm.vendor,sysinfo,,,"Oracle Corporation",1323527518557
java.vm.version,sysinfo,,,"21.0-b17",1323527518557
started,bundle,org.eclipse.wst.sse.core,1.1.601.v201108151912,"org.eclipse.wst.sse.core",1323527518605
started,bundle,com.android.ide.eclipse.adt,15.0.0.v201110251216-213216,"com.android.ide.eclipse.adt",1323527518718
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r371_v20110824-0800,"org.eclipse.ltk.core.refactoring",1323527519057
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1323527519197
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1323527519733
started,bundle,com.android.ide.eclipse.traceview,15.0.0.v201110251216-213216,"com.android.ide.eclipse.traceview",1323527522361
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1323527522863
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323527522869
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323527789516
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323527793940
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323527798425
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1323527801162
